SKU,Name,Price,Category,Description,Colors,In_Stock,Image_filename,Image2_filename,Image3_filename,Image4_filename,Image5_filename,Subcategory,Sizes
87039/1,חיבורי פלסטיק למתקני מים 8x8,0,plumbing,"חיבור פלסטיק איכותי למתקני מים, עמיד בלחץ גבוה ופשוט להתקנה",לבן,true,image_5.png,,,,
87064,חיבורי פלסטיק למתקני מים זכר 1/2 ל-8 ישר,0,plumbing,"חיבור פלסטיק זכר 1/2 אינץ' ל-8 ישר למתקני מים, אטימות מושלמת",לבן,true,image_5.png,,,,
87062,חיבור קו זווית 6X6,0,plumbing,חיבורי פלסטיק למתקני מים,,true,connector_elbow_6x6.jpg,,,,
87053,חיבורי פלסטיק Y 6-6-6,0,plumbing,"חיבור Y מפצל לשלושה כיוונים, אידיאלי לחלוקת זרימת מים",לבן,true,image_5.png,,,,
87055,חיבור פלסטיק למתקני מים 3/4 ל-6 לולא,0,plumbing,"חיבור פלסטיק 3/4 ל-6 מ""מ לולא, מתאים למגוון מערכות מים",לבן,true,image_5.png,,,,
87055/1,חיבור פלסטיק למתקני מים 3/4 ל-8 ישר,0,plumbing,"חיבור פלסטיק 3/4 ל-8 ישר, עמיד ואיכותי למתקני מים מקצועיים",לבן,true,image_5.png,,,,
87056,חיבור בין צינור 6x6,0,plumbing,"חיבור בין צינור 6x6 מ""מ, מאפשר חיבור מהיר ואמין בין צינורות",לבן,true,image_5.png,,,,
87057,חיבור בין צינור 6x8,0,plumbing,"חיבור בין צינור 6x8 מ""מ, מאפשר מעבר חלק בין קוטרים שונים",לבן,true,image_5.png,,,,
87059,חיבור פלסטיק נקבה 3/4 ל-6 לולא,0,plumbing,"חיבור נקבה 3/4 אינץ' ל-6 מ""מ לולא, אטימות מקסימלית",לבן,true,image_5.png,,,,
87063,חיבור פלסטיק 3/4 נקבה ל-6 לולא,0,plumbing,"חיבור פלסטיק נקבה 3/4 ל-6 מ""מ, מתאים להרחבות מערכת",לבן,true,image_5.png,,,,
87058,חיבור פלסטיק 3/8 זכר ל-8 ישר,0,plumbing,"חיבור זכר 3/8 ל-8 ישר, אמין ועמיד לשימוש ממושך",לבן,true,image_5.png,,,,
87038,חיבור פלסטיק 1/4 ישר יישר ל-8,0,plumbing,"חיבור ישר 1/4 אינץ' ל-8 מ""מ, פשוט להרכבה",לבן,true,image_5.png,,,,
87076/1,חיבור פלסטיק 3/8 זכר 8 ל-8 ישר,0,plumbing,חיבור זכר 3/8 ל-8 ישר עם אטימה מושלמת,לבן,true,image_5.png,,,,
87054,חיבור פלסטיק 1/2 ל-6 צינור,0,plumbing,"חיבור 1/2 אינץ' ל-6 מ""מ, עמיד ללחץ גבוה",לבן,true,image_5.png,,,,
87070/2,חיבור 3/4 נקבה ל-8 וזווית נוצן,0,plumbing,"חיבור פלסטיק נקבה 3/4 ל-8 מ""מ עם זווית נוצן",לבן,true,image_5.png,,,,
87076/3,חיבור פלסטיק 1/4 נקבה ל-8 זווית,0,plumbing,"חיבור זווית נקבה 1/4 ל-8 מ""מ, גמישות מקסימלית בהתקנה",לבן,true,image_5.png,,,,
87078,ברז הזנה,0,plumbing,"ברז הזנה איכותי לשליטה מדויקת בזרימת המים, עמיד ומקצועי",כסף|כחול,true,image_5.png,,,,
87079,"ברז הזנה 1/4 לייצור 8 מ""מ",0,plumbing,"ברז הזנה 1/4 לייצור 8 מ""מ, שליטה מדויקת בזרימת מים",כסף|כחול,true,image_5.png,,,,
87080,"ברז הזנה 1/2 לייצור 6 מ""מ",0,plumbing,"ברז הזנה 1/2 לייצור 6 מ""מ, שליטה מדויקת בזרימת מים",כסף|כחול,true,image_5.png,,,,
87070/2-N,ניפל 3/8X3/8,0,plumbing,ניפל פלסטיק 3/8 איכותי לחיבורים הדוקים ואמינים במערכות מים,לבן,true,image_5.png,,,,
87074,ניפל 1/4X1/4,0,plumbing,ניפל פלסטיק 1/4 איכותי לחיבורים במערכות מים,לבן,true,image_5.png,,,,
61152,תרמיל סניטרי 10 שנים נגד עובש,0,adhesives,"תרמיל/שפומפרת סניטרי עם הגנת אנטי-עובש ל-10 שנים, מתאים למקלחות ואמבטיות",שקוף|לבן,true,image_6.png,,,,
61154,שפומפרת סניטרי 10 שנים נגד עובש,0,adhesives,"שפומפרת סניטרי עם הגנת אנטי-עובש ל-10 שנים, מתאים למקלחות ואמבטיות",שקוף|לבן,true,image_6.png,,,,
61151/1,תרמיל סניטרי גון ב',0,adhesives,תרמיל/שפומפרת סניטרי גון ב' עם הגנת אנטי-עובש ל-10 שנים,לבן,true,image_6.png,,,,
61156,תרמיל עמיד בחום 380 מעלות,0,adhesives,"תרמיל אדום עמיד בחום עד 380 מעלות, מתאים לתנורים, ארובות וצינורות חמים",אדום,true,image_6.png,,,,
89057,תרמיל סיליקון רגיל,0,adhesives,"תרמיל סיליקון רגיל לשימוש כללי, עמיד ואיכותי לאיטום פנים וחוץ",שקוף|לבן|שחור,true,image_6.png,,,,
61103,תרמיל סופר 7,0,adhesives,"תרמיל איטום מקצועי סופר 7, עמיד לטמפרטורות קיצוניות ומציע הגנה מושלמת",לבן|שקוף|פורמגן|שחור|אנו,true,image_6.png,,,,
61102,תרמיל היטק,0,adhesives,"תרמיל היטק — הדבקה מיידית לחומרים קשים, הטוב ביותר בסדרה",לבן,true,image_6.png,,,,
61111,תרמיל סופר PU ב'ל 7,0,adhesives,"תרמיל סופר PU גמיש במיוחד, מתאים לאיטום פוגות ותנועה בין חומרים",אפור,true,image_6.png,,,,
61106,שפרפרת סופר 7,0,adhesives,שפרפרת איטום סופר 7 לשימוש מדויק בפינות וחריצים,לבן|שקוף,true,image_6.png,,,,
61183,סיליקון ניטרלי PR1ME,0,adhesives,"סיליקון ניטרלי פרמיום, אחיזה מצוינת למגוון משטחים — זכוכית, אלומיניום ועץ",לבן|שחור|אפור,true,image_6.png,,,,
96465,מיקרופייבר פס צהוב,0,painting,"רולר מיקרופייבר איכותי עם פס צהוב, מתאים לצביעה חלקה ואחידה של משטחים גדולים",,true,image_1.png,,,,
